Timestamp,Processor ID,Thread Name,Execution Time (ms),Remaining Time (ms)
[03:44:55] Processor 0 executed T14 for 100ms, Remaining: 130ms
[03:44:55] Processor 2 executed T16 for 100ms, Remaining: 734ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 1197ms
[03:44:55] Processor 0 executed T14 for 100ms, Remaining: 30ms
[03:44:55] Processor 2 executed T16 for 100ms, Remaining: 634ms
[03:44:55] Processor 0 executed T14 for 30ms, Remaining: 0ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 1097ms
[03:44:55] Processor 2 executed T16 for 100ms, Remaining: 534ms
[03:44:55] Processor 0 executed T17 for 100ms, Remaining: 998ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 997ms
[03:44:55] Processor 2 executed T16 for 100ms, Remaining: 434ms
[03:44:55] Processor 0 executed T17 for 100ms, Remaining: 898ms
[03:44:55] Processor 1 executed T15 for 100ms, Remaining: 897ms
[03:44:56] Processor 2 executed T16 for 100ms, Remaining: 334ms
[03:44:56] Processor 0 executed T17 for 100ms, Remaining: 798ms
[03:44:56] Processor 1 executed T15 for 100ms, Remaining: 797ms
[03:44:56] Processor 2 executed T16 for 100ms, Remaining: 234ms
[03:44:56] Processor 0 executed T17 for 100ms, Remaining: 698ms
[03:44:56] Processor 1 executed T15 for 100ms, Remaining: 697ms
[03:44:56] Processor 2 executed T16 for 100ms, Remaining: 134ms
[03:44:56] Processor 0 executed T17 for 100ms, Remaining: 598ms
[03:44:56] Processor 1 executed T15 for 100ms, Remaining: 597ms
[03:44:56] Processor 2 executed T16 for 100ms, Remaining: 34ms
[03:44:56] Processor 0 executed T17 for 100ms, Remaining: 498ms
[03:44:56] Processor 1 executed T15 for 100ms, Remaining: 497ms
[03:44:56] Processor 2 executed T16 for 34ms, Remaining: 0ms
[03:44:56] Processor 0 executed T17 for 100ms, Remaining: 398ms
[03:44:56] Processor 1 executed T15 for 100ms, Remaining: 397ms
[03:44:56] Processor 2 executed T18 for 100ms, Remaining: 970ms
[03:44:56] Processor 0 executed T17 for 100ms, Remaining: 298ms
[03:44:56] Processor 1 executed T15 for 100ms, Remaining: 297ms
[03:44:56] Processor 2 executed T18 for 100ms, Remaining: 870ms
[03:44:56] Processor 0 executed T17 for 100ms, Remaining: 198ms
[03:44:56] Processor 1 executed T15 for 100ms, Remaining: 197ms
[03:44:56] Processor 2 executed T18 for 100ms, Remaining: 770ms
[03:44:56] Processor 0 executed T17 for 100ms, Remaining: 98ms
[03:44:56] Processor 1 executed T15 for 100ms, Remaining: 97ms
[03:44:56] Processor 2 executed T18 for 100ms, Remaining: 670ms
[03:44:56] Processor 0 executed T17 for 98ms, Remaining: 0ms
[03:44:56] Processor 1 executed T15 for 97ms, Remaining: 0ms
[03:44:56] Processor 2 executed T18 for 100ms, Remaining: 570ms
[03:44:56] Processor 0 executed T19 for 100ms, Remaining: 617ms
[03:44:56] Processor 1 executed T20 for 100ms, Remaining: 606ms
[03:44:56] Processor 2 executed T18 for 100ms, Remaining: 470ms
[03:44:57] Processor 0 executed T19 for 100ms, Remaining: 517ms
[03:44:57] Processor 1 executed T20 for 100ms, Remaining: 506ms
[03:44:57] Processor 2 executed T18 for 100ms, Remaining: 370ms
[03:44:57] Processor 0 executed T19 for 100ms, Remaining: 417ms
[03:44:57] Processor 1 executed T20 for 100ms, Remaining: 406ms
[03:44:57] Processor 2 executed T18 for 100ms, Remaining: 270ms
[03:44:57] Processor 0 executed T19 for 100ms, Remaining: 317ms
[03:44:57] Processor 1 executed T20 for 100ms, Remaining: 306ms
[03:44:57] Processor 2 executed T18 for 100ms, Remaining: 170ms
[03:44:57] Processor 0 executed T19 for 100ms, Remaining: 217ms
[03:44:57] Processor 1 executed T20 for 100ms, Remaining: 206ms
[03:44:57] Processor 2 executed T18 for 100ms, Remaining: 70ms
[03:44:57] Processor 2 executed T18 for 70ms, Remaining: 0ms
[03:44:57] Processor 0 executed T19 for 100ms, Remaining: 117ms
[03:44:57] Processor 1 executed T20 for 100ms, Remaining: 106ms
[03:44:57] Processor 0 executed T19 for 100ms, Remaining: 17ms
[03:44:57] Processor 1 executed T20 for 100ms, Remaining: 6ms
[03:44:57] Processor 1 executed T20 for 6ms, Remaining: 0ms
[03:44:57] Processor 0 executed T19 for 17ms, Remaining: 0ms
[03:44:57] Processor 0 executed T1 for 100ms, Remaining: 995ms
[03:44:57] Processor 0 executed T1 for 100ms, Remaining: 895ms
[03:44:57] Processor 0 executed T1 for 100ms, Remaining: 795ms
[03:44:57] Processor 0 executed T1 for 100ms, Remaining: 695ms
[03:44:58] Processor 0 executed T1 for 100ms, Remaining: 595ms
[03:44:58] Processor 0 executed T1 for 100ms, Remaining: 495ms
[03:44:58] Processor 0 executed T1 for 100ms, Remaining: 395ms
[03:44:58] Processor 0 executed T1 for 100ms, Remaining: 295ms
[03:44:58] Processor 0 executed T1 for 100ms, Remaining: 195ms
[03:44:58] Processor 0 executed T1 for 100ms, Remaining: 95ms
[03:44:58] Processor 0 executed T1 for 95ms, Remaining: 0ms
[03:44:58] Processor 0 executed T2 for 100ms, Remaining: 1619ms
[03:44:58] Processor 0 executed T2 for 100ms, Remaining: 1519ms
[03:44:58] Processor 0 executed T2 for 100ms, Remaining: 1419ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 1319ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 1219ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 1119ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 1019ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 919ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 819ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 719ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 619ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 519ms
[03:44:59] Processor 0 executed T2 for 100ms, Remaining: 419ms
[03:45:00] Processor 0 executed T2 for 100ms, Remaining: 319ms
[03:45:00] Processor 0 executed T2 for 100ms, Remaining: 219ms
[03:45:00] Processor 0 executed T2 for 100ms, Remaining: 119ms
[03:45:00] Processor 0 executed T2 for 100ms, Remaining: 19ms
[03:45:00] Processor 0 executed T2 for 19ms, Remaining: 0ms
[03:45:00] Processor 0 executed T3 for 100ms, Remaining: 609ms
[03:45:00] Processor 0 executed T3 for 100ms, Remaining: 509ms
[03:45:00] Processor 0 executed T3 for 100ms, Remaining: 409ms
[03:45:00] Processor 0 executed T3 for 100ms, Remaining: 309ms
[03:45:00] Processor 0 executed T3 for 100ms, Remaining: 209ms
[03:45:01] Processor 0 executed T3 for 100ms, Remaining: 109ms
[03:45:01] Processor 0 executed T3 for 100ms, Remaining: 9ms
[03:45:01] Processor 0 executed T3 for 9ms, Remaining: 0ms
